Region,Value
Shymkent city,11933
Turkestan Region,6863
Ulytau Region,790
West Kazakhstan Region,2306
Jambyl Region,6470
Jetisu Region,2306
Abay Region,2537
Akmola Region,6584
Aktobe Region,7908
Almaty city,39928
Almaty Region,15066
Astana city,20313
Atyrau Region,5391
East Kazakhstan Region,9416
Karaganda Region,10937
Kostanay Region,8528
Kyzylorda Region,3589
Mangystau Region,4407
North Kazakhstan Region,5293
Pavlodar Region,6181
